mmsi,total_records,first_seen,last_seen,duration_days,avg_latitude,avg_longitude,avg_speed_knots,min_speed_knots,max_speed_knots,avg_course
258008380,676,2025-03-16 16:52:16.611000+00:00,2025-03-26 14:17:24.462000+00:00,9.89,60.122,5.4229,8.61,1.3,10.8,177.2
212953000,675,2025-03-12 15:24:24.371000+00:00,2025-03-13 19:32:43.673000+00:00,1.17,60.41,5.233,8.33,7.3,9.1,164.2
244030746,675,2024-08-13 11:24:09.971000+00:00,2024-08-15 08:10:16.285000+00:00,1.87,61.1253,5.0757,5.63,0.0,7.5,186.1
257754000,673,2024-11-13 12:47:58.409000+00:00,2025-03-26 03:53:44.675000+00:00,132.63,61.1286,5.0241,12.15,11.4,13.2,206.7
259032100,670,2024-08-06 14:05:36.098000+00:00,2024-09-09 15:15:11.915000+00:00,34.05,61.1142,5.0206,21.95,20.8,23.6,191.2
259425000,665,2025-01-07 09:42:53.851000+00:00,2025-03-08 12:54:48.347000+00:00,60.13,61.0964,5.0211,27.02,25.5,28.7,190.9
257123990,653,2025-03-12 19:18:44.873000+00:00,2025-03-12 20:07:40.480000+00:00,0.03,60.0235,5.2872,16.17,5.0,18.4,195.4
259508000,648,2024-11-01 06:05:11.489000+00:00,2025-02-04 16:20:48.804000+00:00,95.43,61.1339,5.0217,10.3,8.6,12.3,202.4
257916600,625,2024-08-05 02:51:27.818000+00:00,2024-08-21 09:27:46.556000+00:00,16.28,61.133,5.0221,7.04,6.0,8.7,267.7
259995000,625,2025-03-21 18:30:55.493000+00:00,2025-03-21 20:21:25.801000+00:00,0.08,60.0288,5.3469,7.58,7.2,8.2,154.2
257203000,624,2024-11-02 05:49:20.823000+00:00,2024-12-22 12:58:18.272000+00:00,50.3,61.1321,5.0224,11.03,10.0,12.0,216.0
248221000,615,2025-02-20 21:52:49.759000+00:00,2025-03-12 17:54:55.082000+00:00,19.83,60.4664,5.2193,11.65,10.4,12.9,165.0
244859000,615,2024-10-31 18:46:06.210000+00:00,2025-03-04 08:20:41.818000+00:00,123.57,61.1341,5.0223,12.51,10.8,14.2,210.5
259465000,614,2025-03-09 14:25:06.371000+00:00,2025-03-14 13:32:04.130000+00:00,4.96,60.0393,5.2273,6.16,0.0,13.0,180.6
314019000,606,2024-10-23 04:25:18.144000+00:00,2025-03-12 00:12:56.298000+00:00,139.82,60.3927,5.2407,10.91,10.3,11.3,164.4
304332000,604,2025-02-20 07:57:05.624000+00:00,2025-02-22 17:07:49.861000+00:00,2.38,61.096,5.5016,12.56,10.1,14.7,163.9
250004612,603,2025-03-23 13:01:15.182000+00:00,2025-03-27 00:13:31.521000+00:00,3.47,60.0305,5.3517,11.54,11.0,12.4,274.9
257749000,598,2025-03-15 11:29:37.506000+00:00,2025-03-15 13:17:36.960000+00:00,0.07,60.0303,5.344,7.78,7.3,8.3,154.8
259665000,596,2024-10-23 01:17:28.065000+00:00,2024-10-23 02:24:48.244000+00:00,0.05,61.1297,5.0866,9.53,8.5,11.1,196.6
257291000,595,2024-11-14 12:03:25.416000+00:00,2025-01-30 06:28:59.175000+00:00,76.77,61.136,5.0217,11.38,8.6,13.5,181.2
259390000,594,2025-03-20 03:21:59.160000+00:00,2025-03-20 10:23:58.476000+00:00,0.29,60.405,5.2433,11.47,6.5,12.5,316.7
257643000,589,2024-08-16 13:50:09.520000+00:00,2024-11-05 01:23:57.397000+00:00,80.48,61.1276,5.0241,13.37,12.4,14.1,234.1
257798800,587,2025-03-08 22:54:32.287000+00:00,2025-03-12 11:34:46.784000+00:00,3.53,60.021,5.3165,10.05,9.2,10.7,157.8
258152000,586,2025-01-15 11:26:50.018000+00:00,2025-03-04 22:44:50.095000+00:00,48.47,61.1325,5.0575,11.77,6.8,13.2,187.7
244630128,583,2025-03-14 23:28:07.371000+00:00,2025-03-15 01:13:55.662000+00:00,0.07,60.0279,5.3521,7.86,7.6,8.3,336.6
257113000,581,2024-12-04 10:54:57.864000+00:00,2025-02-01 09:59:05.825000+00:00,58.96,61.1303,5.0217,7.86,1.9,9.8,183.3
257374000,579,2025-03-13 23:01:00.620000+00:00,2025-03-13 23:59:31.330000+00:00,0.04,60.0272,5.3557,14.34,14.0,14.7,321.9
257668000,576,2025-03-21 12:13:15.129000+00:00,2025-03-21 13:54:05.827000+00:00,0.07,60.0267,5.3471,8.49,7.7,9.2,153.8
258183000,574,2024-10-21 23:21:06.249000+00:00,2024-11-02 02:36:37.161000+00:00,11.14,61.1352,5.0212,8.0,6.8,9.4,181.1
314438000,569,2024-10-27 11:54:10.870000+00:00,2025-02-21 21:09:49.354000+00:00,117.39,61.1314,5.0222,9.97,9.0,10.8,183.0
259074000,566,2025-03-14 00:13:23.909000+00:00,2025-03-14 01:56:46.419000+00:00,0.07,60.0299,5.3438,8.1,7.4,8.3,154.6
257088660,559,2025-02-27 03:16:00.534000+00:00,2025-02-27 04:41:29.567000+00:00,0.06,60.0155,5.2714,9.6,1.3,12.5,196.4
257067200,559,2024-12-31 15:50:55.833000+00:00,2025-03-10 12:42:20.469000+00:00,68.87,60.838,5.072,11.96,9.2,13.2,198.5
538007874,556,2025-03-23 16:36:30.919000+00:00,2025-03-23 23:34:09.984000+00:00,0.29,60.4015,5.2415,12.43,11.5,13.1,295.6
219668000,550,2025-02-28 01:41:03.822000+00:00,2025-02-28 02:40:43.504000+00:00,0.04,60.026,5.3472,14.11,13.7,14.6,154.8
314258000,550,2024-10-31 15:55:34.097000+00:00,2024-10-31 16:31:31.130000+00:00,0.02,61.1268,5.0239,10.32,9.9,10.9,244.7
257816500,550,2025-02-28 15:26:59.030000+00:00,2025-03-29 02:02:18.859000+00:00,28.44,60.0257,5.3161,7.91,6.8,9.3,162.1
259655000,544,2024-11-01 06:00:41.356000+00:00,2025-02-04 01:26:39.774000+00:00,94.81,61.1092,5.0211,11.36,9.6,12.6,187.2
305804000,542,2024-11-29 12:32:27.236000+00:00,2025-01-12 15:09:56.029000+00:00,44.11,61.1335,5.0216,10.04,9.1,11.1,181.9
319205600,536,2024-08-17 12:56:12.598000+00:00,2024-08-21 14:32:09.159000+00:00,4.07,61.1302,5.0232,14.65,10.4,16.7,214.5
259015000,534,2024-09-10 18:34:16.224000+00:00,2024-09-10 19:36:01.393000+00:00,0.04,61.0889,5.0361,13.9,0.6,17.6,215.2
259417000,534,2024-11-24 10:18:19.941000+00:00,2024-12-07 15:51:56.902000+00:00,13.23,61.1317,5.0224,10.97,9.8,12.3,210.5
257576600,533,2024-08-15 06:48:20.293000+00:00,2024-08-28 14:29:32.018000+00:00,13.32,61.1356,5.0214,8.03,7.0,9.5,213.8
258207880,533,2025-03-19 07:44:34.361000+00:00,2025-03-19 11:06:53.065000+00:00,0.14,59.9989,5.2216,6.17,0.0,7.8,211.5
266155000,532,2024-12-09 16:43:54.151000+00:00,2025-02-24 04:48:24.575000+00:00,76.5,61.1355,5.0218,9.65,8.1,10.7,206.4
